--- asteroids vs asteroids ---
0 1 0.003198 0.785398
0 2 0.087432 0.785398
0 3 0.002416 0.602331
0 4 0.001230 0.785398
1 2 0.007264 0.246965
1 3 0.059878 0.010981
1 4 0.005019 0.785398
2 3 0.003818 0.550193
2 4 0.001692 0.785398
3 4 0.010609 0.785398
--- asteroids vs planets ---
0 0 0.275747 0.000000
1 0 0.021640 0.000000
2 0 0.131245 0.000000
3 0 0.015685 0.000000
4 0 0.010825 0.000000

******************** ITERATION ********************
